Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20160128,IBM,06:14,121.99,121.99,121.95,121.95,121.97,64,2
20160128,IBM,06:45,121.00,121.78,121.00,121.78,121.37818,132,5
20160128,IBM,08:38,121.00,121.00,120.88,120.88,120.92,273,4
20160128,IBM,08:48,120.88,120.88,120.88,120.88,120.88,500,4
20160128,IBM,08:51,120.88,120.88,120.88,120.88,120.88,3,1
20160128,IBM,08:55,120.96,120.96,120.96,120.96,120.96,2,1
20160128,IBM,08:59,121.20,121.25,121.20,121.25,121.24975,600,5
20160128,IBM,09:00,121.25,121.25,121.25,121.25,121.25,88,2
20160128,IBM,09:25,121.56,121.60,121.56,121.60,121.57404,285,3
20160128,IBM,09:28,121.50,121.50,120.96,120.96,121.44214,112,2
20160128,IBM,09:29,121.24,121.24,121.24,121.24,121.24,100,1
20160128,IBM,09:30,121.53,122.21,121.18,122.16,121.62322,76664,95
20160128,IBM,09:31,122.09,122.15,121.58,122.06,121.9346,8621,91
20160128,IBM,09:32,121.97,122.12,121.90,122.12,122.00915,3854,43
20160128,IBM,09:33,122.01,122.21,122.00,122.14,122.11797,11202,79
20160128,IBM,09:34,122.20,122.28,122.04,122.17,122.18171,10777,58
20160128,IBM,09:35,122.06,122.11,121.79,121.86,121.95703,5014,49
20160128,IBM,09:36,121.84,122.07,121.82,122.07,121.91093,8528,93
20160128,IBM,09:37,122.06,122.18,121.91,122.17,122.04843,5177,64
20160128,IBM,09:38,122.18,122.27,122.08,122.08,122.19267,6656,70
20160128,IBM,09:39,122.05,122.13,122.00,122.00,122.04989,4231,39
20160128,IBM,09:40,122.03,122.14,121.81,121.83,121.90299,7657,62
20160128,IBM,09:41,121.85,121.88,121.73,121.87,121.82153,9771,117
20160128,IBM,09:42,121.86,121.86,121.69,121.81,121.74615,2604,33
20160128,IBM,09:43,121.87,122.07,121.81,122.07,121.94303,4818,65
20160128,IBM,09:44,122.11,122.30,121.97,122.26,122.16077,4737,52
20160128,IBM,09:45,122.26,122.38,122.16,122.21,122.25599,6134,70
20160128,IBM,09:46,122.22,122.24,122.00,122.00,122.10222,8407,73
20160128,IBM,09:47,122.00,122.00,121.88,121.93,121.93039,8284,97
20160128,IBM,09:48,121.91,121.96,121.85,121.93,121.88902,3701,36
20160128,IBM,09:49,121.89,121.97,121.82,121.97,121.89033,5146,68
20160128,IBM,09:50,121.96,122.16,121.94,122.09,122.071,9037,97
20160128,IBM,09:51,122.09,122.24,122.02,122.02,122.12244,8955,108
20160128,IBM,09:52,122.03,122.20,121.95,122.20,122.06911,5713,76
20160128,IBM,09:53,122.20,122.37,122.18,122.35,122.27069,12733,105
20160128,IBM,09:54,122.34,122.34,122.19,122.19,122.28281,4452,49
20160128,IBM,09:55,122.22,122.46,122.18,122.45,122.32827,13200,103
20160128,IBM,09:56,122.45,122.51,122.32,122.32,122.46887,13626,90
20160128,IBM,09:57,122.32,122.32,122.04,122.05,122.11102,8144,37
20160128,IBM,09:58,122.09,122.27,122.06,122.19,122.10925,5610,64
20160128,IBM,09:59,122.14,122.26,122.10,122.26,122.14364,3987,45
20160128,IBM,10:00,122.17,122.27,122.09,122.09,122.18438,4934,61
20160128,IBM,10:01,122.13,122.14,121.88,121.97,121.97214,7813,64
20160128,IBM,10:02,122.02,122.05,121.84,121.86,121.96132,11212,62
